"","ID","US_200BPS","US_200SCLASS","count"
"967",5,1129,3,9226
"968",5,1129,6,2398
"969",5,1129,7,23
"970",5,1129,120,169
"971",5,1129,132,53
"972",5,1130,1,72
"973",5,1130,2,398
"974",5,1130,3,26
"975",5,1130,120,7
"976",5,1130,132,173
"977",5,1131,1,454
"978",5,1131,2,6
"979",5,1131,5,325
"980",5,1131,7,4
"981",5,1131,132,18
"982",5,1132,1,160
"983",5,1132,132,27
"984",5,1133,2,46
"985",5,1133,3,1091
"986",5,1133,4,5
"987",5,1133,132,17
"988",5,1134,1,30
"989",5,1134,2,44
"990",5,1134,120,1
"991",5,1134,132,4
"992",5,1135,1,83
"993",5,1135,132,2
"994",5,1137,1,19
"995",5,1137,3,33
"996",5,1137,4,50
"997",5,1137,132,9
"998",5,1139,1,12558
"999",5,1139,2,21406
"1000",5,1139,3,42732
"1001",5,1139,7,204
"1002",5,1139,120,76
"1003",5,1139,132,64
"1004",5,1140,1,45922
"1005",5,1140,2,55741
"1006",5,1140,3,94210
"1007",5,1140,4,32646
"1008",5,1140,7,355
"1009",5,1140,120,1079
"1010",5,1140,132,12764
"1011",5,1142,1,1511
"1012",5,1142,2,652
"1013",5,1142,3,84
"1014",5,1142,7,8
"1015",5,1142,132,10
"1016",5,1143,1,2581
"1017",5,1143,2,28219
"1018",5,1143,7,5302
"1019",5,1143,120,146
"1020",5,1143,132,47009
"1021",5,1143,180,129
"1022",5,2714,1,810
"1023",5,2714,2,888
"1024",5,2714,3,1305
"1025",5,2714,7,9
"1026",5,2714,132,33
"1027",5,2715,1,27
"1028",5,2715,2,26
"1029",5,2715,3,203
"1030",5,2715,4,295
"1031",5,2715,5,1
"1032",5,2715,6,3
"1033",5,2715,132,2
"1034",6,11,111,3880
"1035",6,31,132,18562
"1036",6,381,1,224
"1037",6,381,3,1
"1038",6,381,6,337
"1039",6,381,7,10
"1040",6,381,132,33
"1041",6,384,120,257
"1042",6,384,132,741
"1043",6,395,1,932
"1044",6,395,2,5
"1045",6,395,7,1
"1046",6,395,120,156
"1047",6,1111,120,17
"1048",6,1111,132,261
"1049",6,1114,1,2127
"1050",6,1114,2,5
"1051",6,1114,3,1750
"1052",6,1114,4,172
"1053",6,1114,5,15
"1054",6,1114,132,2049
"1055",6,1115,1,6
"1056",6,1116,2,6
"1057",6,1116,4,1
"1058",6,1118,1,9
"1059",6,1118,132,1
"1060",6,1119,1,1
"1061",6,1119,132,1
"1062",6,1120,1,1916
"1063",6,1120,2,4605
"1064",6,1120,3,46304
"1065",6,1120,4,297
"1066",6,1120,5,108
"1067",6,1120,7,2
"1068",6,1120,120,488
"1069",6,1120,132,2801
"1070",6,1123,1,19
"1071",6,1123,3,3
"1072",6,1123,132,31
"1073",6,1124,1,112
"1074",6,1124,2,8
"1075",6,1124,3,358
"1076",6,1124,132,12
"1077",6,1128,1,1296
"1078",6,1128,2,200
"1079",6,1128,3,2930
"1080",6,1128,6,5159
"1081",6,1128,7,73
"1082",6,1128,120,11
"1083",6,1128,132,193
"1084",6,1129,1,4
"1085",6,1129,2,16
"1086",6,1129,3,51
"1087",6,1129,6,57
"1088",6,1129,7,1
"1089",6,1129,120,2
"1090",6,1131,1,1345
"1091",6,1131,2,25
"1092",6,1131,5,3457
"1093",6,1131,7,3
"1094",6,1131,120,144
"1095",6,1131,132,187
"1096",6,1132,1,91
"1097",6,1132,2,30
"1098",6,1132,4,450
"1099",6,1132,132,113
"1100",6,1133,2,227
"1101",6,1133,3,91
"1102",6,1133,132,2
"1103",6,1135,1,11748
"1104",6,1135,2,2
"1105",6,1135,3,7
"1106",6,1135,7,3
"1107",6,1135,120,141
"1108",6,1135,132,172
"1109",6,1137,1,2
"1110",6,1137,3,6
"1111",6,1137,4,12
"1112",6,1137,132,7
"1113",6,1139,1,6920
"1114",6,1139,2,1296
"1115",6,1139,3,30402
"1116",6,1139,7,55
"1117",6,1139,120,92
"1118",6,1139,132,767
"1119",6,1140,1,5075
"1120",6,1140,2,13551
"1121",6,1140,3,6517
"1122",6,1140,4,3684
"1123",6,1140,7,18
"1124",6,1140,120,785
"1125",6,1140,132,4204
