"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"89","All Transitions","10820_12_15_16_17_23_24",0.0012436,"Mojave Mid-Elevation Mixed Desert Scrub",58,0.28627451,103,0,0.1280908
"90","All Transitions","10910_15",0.0116798,"Sonoran Mid-Elevation Desert Scrub",59,0.388235294,54,0,0.6307092
"91","All Transitions","10930_13_15_16_23_24_28",0.012289,"Southern Colorado Plateau Sand Shrubland",42,0.094117647,18,0,0.221202
"92","All Transitions","11000_15",0.0143264,"Chihuahuan Mixed Desert and Thorn Scrub",60,0.478431373,1,0,0.0143264
"93","All Transitions","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",43,0,4,0,0.0619232
"94","All Transitions","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",61,0,875,0,13.5457
"95","All Transitions","11040_15",0.013108,"Mogollon Chaparral",11,0.82745098,27473,1.3,360.116084
"96","All Transitions","11040_23_24",0.0416284,"Mogollon Chaparral",27,0.82745098,2187,0.1,91.0413108
"97","All Transitions","11070_15",0.0260746,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",8,0.874509804,36228,1.7,944.6306088
"98","All Transitions","11070_23_24",0.025984,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",44,0.874509804,378,0,9.821952
"99","All Transitions","11090_15_25",0.0028654,"Sonoran Paloverde-Mixed Cacti Desert Scrub",22,0.960784314,7055,0.3,20.215397
"100","All Transitions","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",45,0.266666667,258,0,3.9774828
"101","All Transitions","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",62,0.266666667,105,0,1.618743
"102","All Transitions","11160_15_25",0.0274268,"Madrean Juniper Savanna",63,0.560784314,939,0,25.7537652
"103","All Transitions","11160_24",0.0269784,"Madrean Juniper Savanna",46,0.560784314,4,0,0.1079136
"104","All Transitions","11170_13_15_28",0.0951214,"Southern Rocky Mountain Ponderosa Pine Savanna",2,0,185004,8.5,17597.8394856
"105","All Transitions","11170_16_23_24",0.1266146,"Southern Rocky Mountain Ponderosa Pine Savanna",23,0,3803,0.2,481.5153238
"106","All Transitions","11210_15",0.1262176,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",17,0.847058824,7989,0.4,1008.3524064
"107","All Transitions","11210_24",0.1238776,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",47,0.847058824,87,0,10.7773512
"108","All Transitions","11250_6_12_13_15_16_17_18_23_24_25_28",0.0315482,"Inter-Mountain Basins Big Sagebrush Steppe",31,0.874509804,180,0,5.678676
