class_id,model_label
Mid1:OPN,10750_25_B
Late1:CLS,10750_25_C
Early1:ALL,10750_26_A
Mid1:OPN,10750_26_B
Mid2:OPN,10750_26_C
Early1:OPN,10760_25_A
Late1:OPN,10760_25_B
Mid1:OPN,10760_26_A
Early1:OPN,10770_15_A
Late1:CLS,10770_15_B
Early1:OPN,10770_25_26_A
Late1:OPN,10770_25_26_B
Early1:OPN,10780_15_A
Late1:CLS,10780_15_B
Early1:ALL,10780_16_23_24_25_A
Late2:CLS,10780_16_23_24_25_B
Late1:OPN,10780_16_23_24_25_C
Early1:ALL,10790_13_A
Mid1:OPN,10790_13_B
Late1:OPN,10790_13_C
Late1:CLS,10790_13_D
Early1:ALL,10790_6_9_10_12_16_17_18_A
Mid1:OPN,10790_6_9_10_12_16_17_18_B
Late1:OPN,10790_6_9_10_12_16_17_18_C
Late1:CLS,10790_6_9_10_12_16_17_18_D
Early1:ALL,10800_1_7_8_9_A
Mid1:OPN,10800_1_7_8_9_B
Late1:CLS,10800_1_7_8_9_C
Early1:ALL,10800_10_19_A
Mid1:OPN,10800_10_19_B
Late1:CLS,10800_10_19_C
Early1:ALL,10800_13_14_A
Mid1:OPN,10800_13_14_B
Mid1:CLS,10800_13_14_C
Late1:OPN,10800_13_14_D
Late1:CLS,10800_13_14_E
